0 0.017988
1 0.015768
2 0.018694
3 0.017299
4 0.018727
5 0.018229
6 0.018258
7 0.017789
8 0.019851
9 0.017093
10 0.023156
11 0.019456
12 0.019482
13 0.018476
14 0.020459
15 0.020380
16 0.023238
17 0.026070
18 0.019425
19 0.018706
20 0.018588
21 0.017848
22 0.018371
23 0.018282
24 0.019121
25 0.019806
26 0.020423
27 0.019767
28 0.019575
29 0.019665
30 0.018768
31 0.019460
32 0.019357
33 0.018313
34 0.019026
35 0.019812
36 0.019192
37 0.019598
38 0.019554
39 0.019839
40 0.018790
41 0.019547
42 0.019691
43 0.020795
44 0.032092
45 0.021084
46 0.019422
47 0.020261
48 0.018711
49 0.018648
50 0.018453
51 0.019607
52 0.016145
53 0.016170
54 0.018104
55 0.019155
56 0.019708
57 0.016303
58 0.021511
59 0.019223
60 0.018657
61 0.019309
62 0.021270
63 0.019376
64 0.018867
65 0.019020
66 0.019416
67 0.019542
68 0.020334
69 0.019965
70 0.019707
71 0.019947
72 0.018901
73 0.019482
74 0.019898
75 0.022011
76 0.019346
77 0.022383
78 0.017181
79 0.019487
80 0.016895
81 0.016780
82 0.016789
83 0.017944
84 0.019673
85 0.019473
86 0.019858
87 0.019627
88 0.019166
89 0.020001
90 0.024692
